#1èr déclinaison
-   rosa, rosae, f : rose, f
-   ala, alae, f : aile, f
P   amica, amicae, f : amie, f
P   ancilla, ancillae, f : servante, f
-   aqua, aquae, f : eau, f
-   aquila, aquilae, f : aigle, m
-   aura, aurae, f : brise, f
P   dea, deae, f : déesse, f
P   domina, dominae, f : maîtresse, f
-   fabula, fabulae, f : récit, m
-   fera, ferae, f : bête sauvage, f
P   filia, filiae, f : fille, f
-   flamma, flammae, f : flamme, f
-   fortuna, fortunae, f : chance, f
-   gloria, gloriae, f : gloire, f
-   herba, herbae, f : herbe, f
-   hora, horae, f : heure, f
-   insula, insulae, f : île, f
-   laetitia, laetitiae, f : joie, f
-   lingua, linguae, f : langue, f
-   luna, lunae, f : lune, f
-   memoria, memoriae, f : souvenir, m
-   mensa, mensae, f : table, f
P   nauta, nautae, m : marin, m
-   pecunia, pecuniae, f : richesse, f
P   pirata, piratae, m : pirate, m
P   poeta, poetae, m : poète, m
-   porta, portae, f : porte, f
P   puella, puellae, f : jeune fille, f
-   pugna, pugnae, f : combat, m
P   regina, reginae, f : reine, f
-   sapientia, sapientiae, f : intelligence, f
-   schola, scholae, f : école, f
P   scriba, scribae, m : scribe, m
-   silva, silvae, f : forêt, f
-   tuba, tubae, f : trompette, f
-   via, viae, f : route, f
-   victoria, victoriae, f : victoire, f
-   villa, villae, f : ferme, f
-   vita, vitae, f : vie, f

#2e déclinaison
P   dominus, domini, m : maître, m
-   ager, agri, m : champ, m
P   puer, pueri, m : enfant, m
-   templum, templi, n : temple, m
P   amicus, amici, m : ami, m
-   annus, anni, m : année, f
P   armatus, armati, m : soldat, m
-   bellum, belli, n : guerre, f
-   caelum, caeli, n : ciel, m
-   cibus, cibi, m : nourriture, f
-   commodum, commodi, n : avantage, m
P   deus, dei, m : dieu, m
-   digitus, digiti, m : doigt, m
-   donum, doni, n : cadeau, m
-   equus, equi, m : cheval, m
P   faber, fabri, m : artisan, m
P   filius, filii, m : fils, m
-   folium, folii, n : feuille, f
P   gener, generi, m : gendre, m
-   gladius, gladii, m : épée, f
-   hortus, horti, m : jardin, m
-   imperium, imperii, n : empire, m
-   initium, initii, n : début, m
-   lectus, lecti, m : lit, m
P   legatus, legati, m : ambassadeur, m
-   liber, libri, m : livre, m
-   locus, loci, m : endroit, m
-   ludus, ludi, m : jeu, m
-   matrimonium, matrimonii, n : mariage, m
P   medicus, medici, m : médecin, m
-   murus, muri, m : mur, m
P   musicus, musici, m : musicien, m
-   pallium, pallii, n : manteau, m
-   periculum, periculi, n : danger, m
P   philosophus, philosophi, m : philosophe, m
-   pomum, pomi, n : fruit, m
-   remedium, remedii, n : médicament, m
-   rivus, rivi, m : cours d'eau, m
-   saeculum, saeculumi, n : siècle, m
-   scutum, scuti, n : bouclier, m
P   servus, servi, m : esclave, m
-   silentium, silentii, n : silence, m
P   socer, soceri, m : beau-père, m
-   tectum, tecti, n : toit, m
-   ventus, venti, m : vent, m
-   vesper, vesperi, m : soir, m
P   vir, viri, m : mâle, m
-   virus, viri, n : poison, m
-   votum, voti, n : voeu, m
-   vulgus, vulgi, n : foule, f

#3e déclinaison
P   civis, civis, m : citoyen, m
-   mare, maris, n : mer, f
P   consul, consulis, m : consul, m
-   corpus, corporis, m : corps, m
P   pater, patris, m : père, m
-   urbs, urbis, f : ville, f
-   animal, animalis, n : animal, m
-   febris, febris, f : fièvre, f
-   vis, -, f : violence, f
-   aestas, aestatis, f : été, m
-   amor, amoris, m : amour, m
-   arbor, arboris, f : arbre, m
-   avis, avis, f : oiseau, m
-   canis, canis, m : chien, m
-   calor, caloris, m : chaleur, f
-   carmen, carminis, n : poême, m
-   cervix, cervicis, f : cou, m
P   conjux, conjugis, m : époux, m
-   dolor, doloris, m : douleur, f
P   dux, ducis, m : chef, m
-   fames, famis, f : faim, f
-   flos, floris, m : fleur, f
-   flumen, fluminis, n : fleuve, m
P   frater, fratris, m : frère, m
-   hiems, hiemis, f : hiver, m
P   homo, hominis, m : homme, m
P   hostis, hostis, m : ennemi, m
P   juvenis, juvenis, m : jeune homme, m
-   lac, lactis, n : lait, m
-   legio, legionis, f : légion, f
P   mater, matris, f : mère, f
-   mensis, mensis, m : mois, m
-   messis, messis, f : moisson, f
-   mons, montis, m : montagne, f
-   mors, mortis, f : mort, f
P   mulier, mulieris, f : femme, f
-   navis, navis, f : navire, m
-   nix, nivis, f : neige, f
-   nomen, nominis, n : nom, m
-   nox, noctis, f : nuit, f
P   orator, oratoris, m : orateur, m
-   panis, panis, m : pain, m
-   pars, partis, f : partie, f
-   pes, pedis, m : pied, m
-   piscis, piscis, m : poisson, m
-   potestas, potestatis, f : puissance, f
-   puppis, puppis, f : poupée, f
P   rex, regis, m : roi, m
-   securis, securis, f : hache, f
P   senex, senis, m : vieillard, m
-   sitis, sitis, f : soif, f
-   sol, solis, m : soleil, m
P   soror, sororis, f : soeur, f
-   tempus, temporis, n : moment, m
-   timor, timoris, m : peur, f
-   turris, turris, f : tour, f
-   virtus, virtutis, f : courage, m
-   voluptas, voluptatis, f : plaisir, m
-   vox, vocis, f : voix, f
P   uxor, uxoris, f : épouse, f

#4e déclinaison
-   manus, manus, f : main, f
-   cornu, cornus, n : corne, f
-   domus, domus, f : maison, f
-   adventus, adventus, m : arrivée, f
-   arcus, arcus, m : arc, m
-   cantus, cantus, m : chant, m
-   equitatus, equitatus, m : cavalerie , f
-   eventus, eventus, m : évènement, m
-   exercitus, exercitus, m : armée, f
-   exitus, exitus, m : fin, f
-   habitus, habitus, m : état, m
-   lacus, lacus, m : lac, m
-   portus, portus, m : port, m
-   quercus, quercus, f : chêne, m
-   reditus, reditus, m : retour, m
-   saltus, saltus, m : saut, m
-   situs, us, m : position, f
-   sonitus, sonitus, m : son, m
-   status, status, m : situation, f
-   tribus, tribus, f : tribu, f


#5e déclinaison
-   res, rei, f : chose, f
-   acies, aciei, f : pointe, f
-   dies, diei, m : jour, m
-   fides, fidei, f : loyauté, f
-   meridies, meridiei, f : midi, m
-   pernicies, perniciei, f : perte, f
-   species, speciei, f : espèce, f
-   spes, spei, f : espoir, m
