# Féminin des substantifs français.

# Codes formation du féminin:
#   -  régulier (en -e)
#   *  id. mais inclus dans les exercices à substantifs irréguliers uniquement
#   N  pas de forme particulière au féminin (article masculin)
#   C  conservant la forme du masculin (mais avec acrticle féminin)
#   R  selon une règle dépendant de la termnaison
#   L  id. mais il y a une liste d'exceptions
#   I  irrégulier
#   M  nom de métier féminisé (féminin avec ou sans -e)
#   P  nom de profession, sans forme particulière au féminin
# Les minuscules indiquent (normalement) qu'il y a 2 formes du féminin

aéronaute                     -
abatteur                      L
abbé                          L
abuseur                       L
académicien                   L
accessoiriste                 -
accompagnateur                L
accordeur                     L
accusateur                    L
acheteur                      L
acheveur                      L
acolyte                       -
acousticien                   L
acquisiteur                   L
acrobate                      -
acteur                        L
acupuncteur                   L
adaptateur                    L
adjoint                       -
adjudant                      -
administrateur                L
afficheur                     L
affileur                      L
affineur                      L
affranchisseur                L
Africain                      L
agneau                        R
agrégé                        -
agriculteur                   L
aide                          -
aiguilleur                    L
ajusteur                      L
Allemand                      -
alpiniste                     -
aménageur                     L
Américain                     L
amant                         -
amateur                       L
ambassadeur                   L
ambulancier                   R
ami                           -
amuseur                       L
analyseur                     L
analyste                      -
anesthésiste                  -
ange                          N
animateur                     L
annonceur                     L
antiquaire                    -
apiculteur                    L
appareilleur                  L
apprenti                      -
approvisionneur               L
arbitre                       -
archéologue                   -
architecte                    -
archiviste                    -
ardoisier                     R
arrangeur                     L
arroseur                      L
artilleur                     L
artisan                       L
artiste                       -
aspirant                      -
assassin                      L
assembleur                    L
assistant                     -              -
associé                       -
assureur                      L
astrologue                    -
astronaute                    -
astronome                     -
astrophysicien                L
athlète                       -
atomicien                     L
aubergiste                    -
auditeur                      L
aumônier                      R
auteur                        M
automaticien                  L
automobiliste                 -
auxiliaire                    -
aviateur                      L
aviculteur                    L
aviseur                       L
avocat                        L
ayant droit (juridique)       C
bâtisseur                     L
bâtonnier                     R
bénévole                      -
bûcheron                      L
babysitter                    C
bachelier                     R
bactériologiste               -
baigneur                      L
bailleur (juridique)          L
bailleur                      L
balayeur                      L
balisticien                   L
banquier                      R
barman                        I
baron                         L
baryton                       N
basketteur                    L
bassiste                      -
batteur                       L
Belge                         -
benjamin                      -
berger                        R
bibliothécaire                -
bigot                         L
bijoutier                     R
biochimiste                   -
biologiste                    -
blanchisseur                  L
bobineur                      L
boeuf                         I
bookmaker                     C
bordeur                       L
boucher                       R
boulanger                     R
bourgmestre                   -
bourreau                      R
boursier                      R
boxeur                        L
brasseur                      L
bricoleur                     L
brigadier                     R
brodeur                       L
broker                        C
câbleur                       L
célibataire                   -
cabaretier                    R
cabarettiste                  -
cadet                         L
cadre                         -
cadreur                       L
cafetier                      R
caissier                      R
camarade                      -
camionneur                    L
candidat                      L
capitaine                     -
caporal                       *
cardiologue                   -
carrossier                    R
cascadeur                     L
casseur                       L
catcheur                      L
cavalier                      R
censeur                       M
cerf                          I
chômeur                       L
chameau                       R
champion                      L
chanteur                      L
charcutier                    R
chargeur                      L
charmeur (poétique)           L
charmeur                      L
chasseur (poétique)           L
chasseur                      L
chat                          L
chauffeur                     L
chef                          i
cheminot                      L
chercheur                     L
cheval                        I
chien                         L
chimiste                      -
chirurgien                    L
chroniqueur                   L
civiliste                     -
clerc                         I
client                        -
clinicien                     L
clown                         i
coach                         C
coiffeur                      L
collègue                      -
collégien                     L
collaborateur                 L
collecteur                    L
colonel                       R
comédien                      L
combattant                    -
commandant                    -
commandeur                    M
commentateur                  L
commerçant                    -
commercial                    *
commis                        M
commissaire                   -
communicateur                 L
compétiteur                   L
compagnon                     I
composeur                     L
compositeur                   L
comptable                     -
compteur                      L
comte                         L
concepteur                    L
concierge                     -
conciliateur                  L
condamné                      -
conditionneur                 L
conducteur                    L
conférencier                  R
confectionneur                L
confiseur                     L
confrère                      I
conseiller                    R
conservateur                  L
consultant                    -
conteur                       L
contrôleur                    L
contremaître                  L
convoyeur                     L
coopérateur                   L
coordinateur                  L
copain                        I
coq                           I
cordonnier                    R
correcteur                    L
correspondant                 -
cosméticien                   L
cosmonaute                    -
costumier                     R
coureur                       L
courtier                      R
courtisan                     L
cousin                        L
couturier                     R
couvreur                      L
coverboy                      I
créancier                     R
créateur                      L
créatif                       R
crêpier                       R
crieur                        L
criminel                      R
croupier                      R
cueilleur                     L
cuisinier                     R
cuistot                       M
cultivateur                   L
curateur                      L
cycliste                      -
débosseleur                   L
décideur                      L
décorateur                    L
défendeur                     L
défenseur                     L
dégustateur                   L
délégué                       -
délinquant                    -
démineur                      L
démon                         N
démonstrateur                 L
dénonciateur                  L
dépanneur                     L
dépositaire                   -
député                        -
détective                     -
