# Pluriel des substantifs français.

# Codes formation du pluriel:
#   -  régulier (en -s)
#   R  selon une règle dépendant de la termnaison
#   L  id. mais il y a une liste d'exceptions
#   I  irrégulier
#   N  noms propres
# Les minuscules indiquent qu'il y a 2 formes du pluriel

abbaye                        -
abeille                       -
abîme                         -
abri                          -
abribus                       R
abricot                       -
absurdité                     -
abus                          R
accès                         R
accident                      -
accord                        -
accusation                    -
achat                         -
action                        -
activité                      -
adieu                         L
adolescent                    -
aéroport                      -
affaire                       -
agneau                        R
aïeul                         i
ail                           i
allemand                      -
américain                     -
Amérique (nord et sud)        N
ami                           -
amoureux                      R
ange                          -
anglais                       R
animal                        L
année                         -
apex                          R
appareil                      -
appel                         -
arbre                         -
arsenal                       L
aval                          L
aveu                          L
avion                         -
backup                        -
baie                          -
baignoire                     -
bail                          L
bal                           L
balai                         -
ballon                        -
banc                          -
bataille                      -
bateau                        R
bayou                         L
bébé                          -
belge                         -
Belmondo (famille)            N
bicyclette                    -
bijou                         L
billet                        -
biogaz                        R
biscuit                       -
bisou                         L
bleu                          L
bocal                         L
bois                          R
boîte                         -
boss                          R
bougie                        -
boulevard                     -
Bourbon (famille)             N
bouteille                     -
bouton                        -
boyau                         L
bracelet                      -
bras                          R
break                         -
bru                           -
bureau                        R
bus                           R
cadeau                        R
café                          -
cahier                        -
caillou                       L
cal                           L
campus                        R
canal                         L
canyon                        -
capital                       L
capitale                      -
caractère                     -
cardinal                      L
carnaval                      L
carrefour                     -
cas                           R
centrale                      -
cerceau                       R
cérémonial                    L
cerveau                       R
César (famille)               N
chacal                        L
chambre                       -
champ                         -
changement                    -
chanson                       -
chapeau                       R
chat                          -
château                       R
chef                          -
chemin                        -
chemineau                     R
chenal                        l
chevreuil                     -
cheval                        L
cheveu                        L
chien                         -
chinois                       R
chips                         R
choral (musique)              L
chose                         -
chou                          L
chouchou                      L
ciel (sens ordinaire)         -
ciel (paradis)                I
ciseau                        R
clé                           -
clou                          L
coccyx                        R
cocktail                      L
colline                       -
commençant                    -
concert                       -
conseil                       -
conséquence                   -
copain                        -
coq                           -
corail                        L
Corée (nord et sud)           N
cou                           L
coucou                        L
couleur                       -
cours                         R
couteau                       R
crêpe                         -
creux                         R
cri                           -
croix                         R
Curie (famille)               N
cybercafé                     -
cyclone                       -
dame                          -
demande                       -
dessin                        -
détail                        L
devoir                        -
dieu                          L
dinosaure                     -
directeur                     -
discours                      R
discussion                    -
disque                        -
document                      -
doigt                         -
dos                           R
dragon                        -
drapeau                       R
droit                         -
Dupont (famille)              N
eau                           R
école                         -
écossais                      R
écran                         -
écrou                         L
effort                        -
Einstein (famille)            N
Einstein (métaphoriquement)   N
ellipse                       -
émail                         L
émeu                          L
émotion                       -
emploi                        -
endroit                       -
enfant                        -
enfeu                         L
entrée                        -
épicerie                      -
épreuve                       -
erratum                       i
essai                         -
étal                          L
étiquette                     -
éventail                      L
examen                        -
exemple                       -
facture                       -
faisceau                      R
famille                       -
fardeau                       R
femme                         -
fenêtre                       -
fermail                       L
festival                      L
fête                          -
feu                           L
feuille                       -
fichu                         -
fil                           -
fils                          R
final (musique)               L
fleur                         -
flux                          R
forêt                         -
fou                           L
foyer                         -
fraise                        -
frontière                     -
fruit                         -
gamin                         -
garçon                        -
gare                          -
gâteau                        R
gaz                           R
gemmail                       L
général                       L
genou                         L
gnou                          L
gosse                         -
Gracque (famille)             N
grenouille                    -
groupe                        -
guide                         -
guitare                       -
hangar                        -
haricot                       -
hélice                        -
heure                         -
hibou                         L
hindou                        L
histoire                      -
hiver                         -
homme                         -
hôpital                       L
hôtel                         -
hypermarché                   -
iceberg                       -
idéal                         l
idée                          -
illusion                      -
image                         -
impact                        -
inconnu                       -
index                         R
infirmière                    -
innovation                    -
iris                          R
japonais                      R
jardin                        -
jerrycan                      -
jeu                           L
job                           -
joujou                        L
jouet                         -
jour                          -
journal                       L
joyau                         L
jumeau                        R
jus                           R
kangourou                     L
kiosque                       -
kiwi                          -
koala                         -
lac                           -
lampe                         -
landau                        L
laquais                       R
leitmotiv                     -
lettre                        -
lézard                        -
liberté                       -
lieu (endroit)                L
lieu (poisson)                L
lièvre                        -
ligne                         -
lion                          -
livre                         -
loi                           -
loup                          -
luxembourgeois                R
lynx                          R
machine                       -
magasin                       -
maison                        -
mal                           L
mannequin                     -
manuel                        -
marais                        R
Martin                        N
match                         -
maximum                       i
médecin                       -
milieu                        L
minimum                       i
minou                         L
mois                          R
mouvement                     -
musicien                      -
mystère                       -
navire                        -
nef                           -
nez                           R
nid                           -
niveau                        R
noix                          R
nounou                        L
nounours                      R
nouvelle                      -
noyau                         L
nuage                         -
numéro                        -
objet                         -
oeil                          I
oiseau                        R
option                        -
oral                          L
orange                        -
oreiller                      -
os                            R
ours                          R
pal                           L
palais                        R
panneau                       R
paroi                         -
pas                           R
passeport                     -
pays                          R
peau                          R
peluche                       -
pétition                      -
photo                         -
pied                          -
pieu                          L
pinceau                       R
pingouin                      -
place                         -
plateau                       R
Platini (famille)             N
pneu                          L
poisson                       -
pommeau                       R
pont                          -
portail                       L
pot                           -
pou                           L
poule                         -
poupée                        -
prix                          R
produit                       -
projet                        -
pull                          -
quai                          -
quartier                      -
question                      -
radio                         -
radis                         R
rail                          L
rayon                         -
razzia                        -
récital                       L
régal                         L
repas                         R
réponse                       -
requin                        -
réseau                        R
réveil                        -
Richard (famille)             N
ripou                         l
rose                          -
rue                           -
ruisseau                      R
safari                        -
sarrau                        L
Sartre (famille)              N
satyre                        -
sceau                         R
schéma                        -
seau                          R
scenario                      i
sentiment                     -
serval                        L
shampoing                     -
signal                        L
Simpson (famille)             N
singe                         -
slogan                        -
snack                         -
sou                           L
souhait                       -
soupe                         -
soupirail                     L
source                        -
studio                        -
tablette                      -
talus                         R
taux                          R
taxi                          -
télé                          -
temps                         R
texte                         -
tigre                         -
tissu                         -
tombeau                       R
train                         -
Tramp (famille)               N
travail                       L
tronc                         -
trou                          L
tunnel                        -
tuyau                         L
usine                         -
utilisateur                   -
utopie                        -
vaccin                        -
vague                         -
vaisseau                      R
val                           L
vantail                       L
vélo                          -
ventail                       L
verre                         -
villa                         -
violon                        -
virage                        -
virus                         R
visa                          -
vitrail                       L
voiture                       -
voix                          R
voyou                         L
wagon                         -
yacht                         -
yankee                        -
yaourt                        -
zazou                         L
zoo                           -
