# National capitals of world countries (and dependent territories) with population (data is not for a given year and may actually no more be accurate!).
# Data source: https://en.wikipedia.org/wiki/List_of_national_capitals_by_population

Afghanistan                   Kabul                          3,140,853
Albania                       Tirana                           763,634
Algeria                       Algiers                        3,415,811
American Samoa                Pago Pago                         52,000 United States
Andorra                       Andorra la Vella                  22,884
Angola                        Luanda                         2,453,779
Anguilla                      The Valley                         1,169 United Kingdom
Antigua and Barbuda           St. John's                        22,679
Argentina                     Buenos Aires                   2,891,082
Armenia                       Yerevan                        1,080,487?
Aruba                         Oranjestad                        29,998 Netherlands
Australia                     Canberra                         410,301
Austria                       Vienna                         1,749,673
Azerbaijan                    Baku                           2,204,200
Bahamas                       Nassau                           248,948
Bahrain                       Manama                           140,616
Bangladesh                    Dhaka                          8,906,039
Barbados                      Bridgetown                       110,000
Belarus                       Minsk                          1,702,061
Belgium                       Brussels                         148,873
Belize                        Belmopan                          16,451
Benin                         Porto-Novo                       223,552
Bermuda                       Hamilton                             854 United Kingdom
Bhutan                        Thimphu                          101,259
Bolivia                       Sucre                            261,201
Bosnia and Herzegovina        Sarajevo                         395,133
Botswana                      Gaborone                         225,656
Brazil                        Brasília                       2,648,532
British Virgin Islands        Road Town                          9,400 United Kingdom
Brunei                        Bandar Seri Begawan               28,135
Bulgaria                      Sofia                          1,277,000
Burkina Faso                  Ouagadougou                    1,005,231
Burundi                       Gitega                            41,944
Cambodia                      Phnom Penh                     2,011,725
Cameroon                      Yaoundé                        2,765,568
Canada                        Ottawa                           934,243
Cape Verde                    Praia                            125,464
Cayman Islands                George Town                       26,798 United Kingdom
Central African Republic      Bangui                           731,548
Chad                          N'Djamena                        751,288
Chile                         Santiago                       6,310,000
China                         Beijing                       21,542,000
Christmas Island              Flying Fish Cove                   1,493 Australia
Cocos Islands                 West Island                          120 Australia
Collectivity of Saint Martin  Marigot                            5,700 France
Colombia                      Bogotá                         7,181,469
Comoros                       Moroni                            60,200
Congo                         Brazzaville                    1,827,000
Cook Islands                  Avarua                             5,445 New Zealand
Costa Rica                    San José                         328,195
Croatia                       Zagreb                           804,200
Cuba                          Havana                         2,135,498
Curaçao                       Willemstad                        49,885 Netherlands
Cyprus                        Nicosia                          270,000
